id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
1169517,Yonier,Hurtado,Delfines Del Este,-,,,31-Dec-25
1164134,Elio,Simonini  ,,-,,,-
1169978,Min-eui,Jeong,Pyeongtaek Citizen,-,,,-
1159256,Davide,Villa,,-,,,30-Jun-25
429933,Martynas,Baranauskas,SK Taakas,-,,,-
1179820,Hamed,Hajimehdi,One Taguig,-,,,-
961751,Benjamin Sandor,Bacsa,Ajka, ¬50k,Henczi Sports Agency,11230,30-Jun-26
409617,Boubou,Bathily,,-,,,-
228728,Aymen,Arfaoui,,-,no agent,,-
1159420,Daniel ,Laing,Musselburgh Athletic,-,,,31-May-25
1172046,Janus,Augustinussen,Suduroy,-,,,-
1159445,Taylor ,Black,,-,,,31-May-25
527128,Thibault,Lorenzi,,-,,,-
500184,Trevon,Weatherall,,-,,,-
1158714,Jack,Vella,Xaghra United,-,,,30-Jun-25
391824,Nick,Speh,,-,,,-
709773,Bocar,Baró,Hallescher FC, ¬50k,PM Sportmanagement,4607,30-Jun-26
1161085,Taoufik,Ben Dhiab,,-,,,-
796191,Egor,Kukshinov-Kharkevich,,-,,,-
1163029,Teerapat,Sangwong,Lopburi,-,,,30-Jun-25
1156071,Luca,Souply,St-Philbert Gd Lieu,-,,,-
1186832,Kilan,Bozet,Chambéry,-,,,-
1167214,Riku Tosa,Riku Tosa,Tochigi Uva,-,,,31-Jan-26
1179737,Christian,Peñalosa,, ¬10k,,,-
452585,Tobias,Kraus,,-,,,-
1170303,Nguba,Mbongu,Wasquehal,-,,,-
752196,Ryan,Jarvis,United City,-,,,-
695819,Mahmoud Elsayed,Ghazi,,-,,,30-Jun-25
1181577,Alexander Chávez,Escobar,Real Oruro,-,,,-
1179730,Patrick ,Lingg,,-,,,-
1159450,Gregor ,Woods,,-,,,31-May-25
1163786,Chipo,Sondashi,Green Buffaloes,-,,,-
1179720,Earl ,Piñero,Maharlika Taguig, ¬10k,,,-
1179709,Johnmar ,Barsanilla,Manila Digger,-,,,-
1174193,Faveur Wilfried,Kouassi,Djoliba,-,,,-
787407,Bruno,Rufino Romeiro,,-,,,-
1172052,Frídi,Holm,Suduroy,-,,,-
1166282,Hui-Su,Kang,Gangwon, ¬175k,FS Corporation,7124,-
1157881,Michael,Bareck,Bowers & Pitsea,-,P4P Sports ...,4138,30-Jun-25
1172497,Hugo,García Justo,San Cristóbal,-,,,30-Jun-25
1169781,Jae hyun,Kim,Pyeongchang United,-,,,-
1158717,Calvin,Galea,Xaghra United,-,,,30-Jun-25
1160371,Dani,Vivié,Huizen,-,,,-
1160414,Jawad,Mekki,,-,,,-
1008609,Matteo,Morgante,Faetano,-,,,-
836073,Souliyo,Inthavong,Lao Army,-,,,-
1169956,Chang-heon,Lee,Yeoncheon,-,,,-
1178674,Shangming,Cai,Wuhan Three Towns II,-,,,-
1159460,Callum,Kelly,Fraserburgh,-,,,-
1166259,Enzo,Julia,,-,,,-
1061300,Gonzalo Martin,Rostagno ,Racing Córdoba, ¬175k,,,31-Dec-26
728064,Antonio,De Palo,Monopoli U19, ¬25k,,,30-Jun-26
641891,Costantino,Gargaro,Moliterno,-,GC Sport Consultant,12478,30-Jun-25
828695,Pietro,Polara,,-,,,-
863654,Wojciech,Machura,Górnik Zabrze U19,-,Agent is known - Player under 18,,-
880005,Shakro,Beria,Samtredia,-,,,31-Dec-25
893135,Alessandro,Bacia,,-,,,-
967424,Marcos Rafael,Araújo Santos,Bragança,-,,,-
1131664,Yousef Mohammad,Al-Nizami,,-,,,30-Jun-25
